brand_name,review_year,review_month,total_score,gdasCont
닥터지,2022.0,11.0,1.1925972396486826,1594
닥터지,2022.0,12.0,1.1239140374942844,2187
닥터지,2023.0,1.0,1.1019467213114753,1952
닥터지,2023.0,2.0,1.1744125326370758,1915
닥터지,2023.0,3.0,1.2034254807692308,3328
닥터지,2023.0,4.0,1.1741842610364683,2084
라네즈,2022.0,11.0,1.1195652173913044,276
라네즈,2022.0,12.0,1.1329639889196677,361
라네즈,2023.0,1.0,1.072289156626506,332
라네즈,2023.0,2.0,1.1578249336870026,754
라네즈,2023.0,3.0,1.1421052631578947,2280
라네즈,2023.0,4.0,1.1707470182046453,1593
라운드랩,2022.0,11.0,1.1549295774647887,994
라운드랩,2022.0,12.0,1.155322862129145,1719
라운드랩,2023.0,1.0,1.2162637362637363,2275
라운드랩,2023.0,2.0,1.1712979247274007,2843
라운드랩,2023.0,3.0,1.2009251810136765,4972
라운드랩,2023.0,4.0,1.1308681672025724,3110
아누아,2022.0,11.0,1.1906721536351166,729
아누아,2022.0,12.0,1.223623853211009,872
아누아,2023.0,1.0,1.1785383903792785,1081
아누아,2023.0,2.0,1.226848528356066,1393
아누아,2023.0,3.0,1.2362728785357737,1803
아누아,2023.0,4.0,1.2738001573564122,1271
아이소이,2022.0,11.0,1.1610169491525424,708
아이소이,2022.0,12.0,1.1515748031496063,1524
아이소이,2023.0,1.0,1.1724867724867725,1890
아이소이,2023.0,2.0,1.0995923121723936,1717
아이소이,2023.0,3.0,1.1905191873589165,2215
아이소이,2023.0,4.0,1.2055996656916006,2393
에스트라,2022.0,11.0,1.2242990654205608,642
에스트라,2022.0,12.0,1.256348246674728,827
에스트라,2023.0,1.0,1.2520446096654274,1345
에스트라,2023.0,2.0,1.2423035132198479,2761
에스트라,2023.0,3.0,1.1700885668276972,4968
에스트라,2023.0,4.0,1.2014758881070877,5827
